[library] 6426 panels to classify (0 already done) with qwen/qwen3-vl-8b-instruct, concurrency 24
[library] 4950/6426 classified (4707 failed, 56s)
[library] 4975/6426 classified (4732 failed, 56s)
[library] 5000/6426 classified (4757 failed, 56s)
[library] 5025/6426 classified (4782 failed, 56s)
[library] 5050/6426 classified (4807 failed, 56s)
[library] 5075/6426 classified (4832 failed, 56s)
[library] 5100/6426 classified (4857 failed, 56s)
[library] 5125/6426 classified (4882 failed, 56s)
[library] 5150/6426 classified (4907 failed, 57s)
[library] 5175/6426 classified (4932 failed, 57s)
[library] 5200/6426 classified (4957 failed, 57s)
[library] 5225/6426 classified (4982 failed, 57s)
[library] 5250/6426 classified (5007 failed, 57s)
[library] 5275/6426 classified (5032 failed, 58s)
[library] 5300/6426 classified (5057 failed, 58s)
[library] 5325/6426 classified (5082 failed, 58s)
[library] 5350/6426 classified (5107 failed, 58s)
[library] 5375/6426 classified (5132 failed, 58s)
[library] 5400/6426 classified (5157 failed, 58s)
[library] 5425/6426 classified (5182 failed, 58s)
[library] 5450/6426 classified (5207 failed, 59s)
[library] 5475/6426 classified (5232 failed, 59s)
[library] 5500/6426 classified (5257 failed, 59s)
[library] 5525/6426 classified (5282 failed, 59s)
[library] 5550/6426 classified (5307 failed, 59s)
[library] 5575/6426 classified (5332 failed, 59s)
[library] 5600/6426 classified (5357 failed, 60s)
[library] 5625/6426 classified (5382 failed, 60s)
[library] 5650/6426 classified (5407 failed, 60s)
[library] 5675/6426 classified (5432 failed, 60s)
[library] 5700/6426 classified (5457 failed, 60s)
[library] 5725/6426 classified (5482 failed, 60s)
[library] 5750/6426 classified (5507 failed, 60s)
[library] 5775/6426 classified (5532 failed, 61s)
[library] 5800/6426 classified (5557 failed, 61s)
[library] 5825/6426 classified (5582 failed, 61s)
[library] 5850/6426 classified (5607 failed, 61s)
[library] 5875/6426 classified (5632 failed, 61s)
[library] 5900/6426 classified (5657 failed, 61s)
[library] 5925/6426 classified (5682 failed, 61s)
[library] 5950/6426 classified (5707 failed, 61s)
[library] 5975/6426 classified (5732 failed, 62s)
[library] 6000/6426 classified (5757 failed, 62s)
[library] 6025/6426 classified (5782 failed, 62s)
[library] 6050/6426 classified (5807 failed, 62s)
[library] 6075/6426 classified (5832 failed, 62s)
[library] 6100/6426 classified (5857 failed, 62s)
[library] 6125/6426 classified (5882 failed, 62s)
[library] 6150/6426 classified (5907 failed, 62s)
[library] 6175/6426 classified (5932 failed, 62s)
[library] 6200/6426 classified (5957 failed, 63s)
[library] 6225/6426 classified (5982 failed, 64s)
[library] 6250/6426 classified (6007 failed, 64s)
[library] 6275/6426 classified (6032 failed, 64s)
[library] 6300/6426 classified (6057 failed, 64s)
[library] 6325/6426 classified (6082 failed, 64s)
[library] 6350/6426 classified (6107 failed, 64s)
[library] 6375/6426 classified (6132 failed, 64s)
[library] 6400/6426 classified (6157 failed, 64s)
[library] 6425/6426 classified (6182 failed, 65s)
[library] done: 243 classified, 6183 failed in 65s
[library] wrote /home/user/carousel-agent/data/virlo/library/library-index.json, /home/user/carousel-agent/data/virlo/library/gallery.html
{
  "other": 112,
  "fact_card": 41,
  "before_after": 53,
  "problem_closeup": 6,
  "testimonial": 31
}
